lizard,shrub.density,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
a,0,4.00E-05,5.82E-05,6.13E-05,6.53E-05,8.05E-05,8.36E-05,0.000162061,0.000274999,0.002120477,0.002982446,0.003643863,0.005798778,0.007656413,0.010430697,0.013516469,0.017556367,0.026611536
aa,0,0,0,0,0,0,0,0,0,5.07E-07,5.07E-07,1.52E-06,1.52E-06,2.53E-06,2.53E-06,5.06E-06,5.06E-06,9.12E-06
ab,0.002536998,0.000151935,0.000165609,0.000212709,0.000239551,0.000261329,0.00026538,0.000268926,0.000377306,0.000466948,0.000798674,0.001012902,0.001355262,0.001649003,0.013016299,0.018625832,0.01864913,0.019163684
ac,0.006631203,0.000205119,0.000208664,0.000211703,0.000214235,0.00021778,0.000219806,0.000223858,0.000399094,0.000595603,0.001757942,0.002220344,0.003306208,0.004363705,0.005281424,0.006208766,0.006592162,0.013709493
b,0.001065388,1.98E-05,3.85E-05,4.96E-05,7.19E-05,9.67E-05,0.000107875,0.000117498,0.000140794,0.000147378,0.000224865,0.000241072,0.00025424,0.00025424,0.000336792,0.000394528,0.00105697,0.007605953
c,0.001811847,0.003436739,0.004625878,0.004700832,0.004774773,0.005615483,0.005622067,0.005708669,0.006158897,0.007007193,0.007034542,0.008105671,0.014655084,0.014859689,0.016984735,0.02283878,0.031882465,0.242739401
d,0.003442578,0.002878612,0.003291869,0.005082143,0.00529485,0.005352078,0.005352585,0.005414877,0.005470079,0.006239361,0.006430796,0.009404627,0.009629489,0.010483349,0.010655032,0.010911292,0.014849909,0.02930064
e,0,0,0,0,0,0,0,0,0,0,0,0,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,2.03E-06
f,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-06,1.52E-06,1.52E-06,1.52E-06,1.52E-06,7.60E-06
g,0.016627508,0.00124028,0.001616073,0.002167086,0.002167086,0.002241028,0.002351433,0.002351433,0.002351433,0.002351433,0.002351433,0.002351433,0.002353459,0.00236764,0.00236764,0.004688012,0.004875889,0.005010606
h,0.002228164,4.36E-05,8.96E-05,0.000100793,0.00011852,0.000739993,0.000942591,0.001823897,0.001876067,0.002233147,0.00230507,0.002306083,0.002687979,0.002988842,0.003057725,0.00796062,0.008502567,0.009105294
i,0.012232416,1.01E-05,1.01E-05,1.01E-05,3.34E-05,7.24E-05,7.24E-05,8.05E-05,0.000172196,0.000182325,0.000242087,0.000360599,0.000390986,0.000419854,0.000918716,0.001312742,0.001467718,0.003643472
